Course	Room	Teacher	Time	Students
484	GST101	30	43	1175 336 885 70 416 920 419 965 1034
487	SHA412	78	7	1135 1053 406 791 838 506 355 772 1117
514	CHS104	292	7	270 92 237 17 805 385 162 1153 154
590	HLS108	39	2	1175 592 1017 38 170 414 895 728 5
603	ESTW309	85	16	859 941 655 544 315 367 860 1094 982
606	ESTW309	180	40	345 817 1014 852 667 160 963 873 763
19	STO16	160	40	1013 747 235 828 245 966 954 487
127	HLL7	127	40	713 272 436 702 188 209 165 282
181	STO16	18	16	106 555 394 203 311 1174 730 269
188	HLL7	39	16	292 932 189 889 319 505 281 474
235	SHA412	195	43	348 435 744 494 79 1047 69 1036
236	GST101	74	14	109 613 951 130 492 658 833 774
243	STO16	75	39	1004 937 970 922 962 855 1027 483
319	SHA412	238	14	1149 558 1139 922 1155 806 1031 483
350	CHS104	88	14	348 330 21 249 176 996 128 498
395	HLL107	241	14	194 902 452 1148 320 417 1154 59
429	CHS101	296	40	1012 1074
437	HLL7	132	3	30 641 437 550 791 832 1068 1163
675	HLL7	76	39	1060 188 202 546 868 961 1073 537
60	CHS101	127	39	336 144 403 1170 888 468 215
118	GST101	110	39	994 132 136 654 540 1096 878
123	SHA217	170	14	907 334 129 835 1073 534 225
147	STO102	73	14	435 178 663 462 646 1068 634
155	STO18	195	14	1062 550 936 352 217 1036 150
439	SHA412	61	27	594 738 1025 656 324 313 537
442	CHS101	300	3	346 910 688 582 924 384 221
444	STO16	75	22	933 937 509 1155 563 1027 483
459	HLL7	7	22	192 272 1051 1049 544 216 41
466	CHS101	266	22	340 341 448 1016 254 503 934
488	GST101	267	40	1056 132 708 173 351 849 390
489	GST101	43	22	811 31 404 886 697 1091 1117
536	ESTW309	118	2	1150 616 317 780 802 1003 739
545	CHS104	228	27	717 916 857 684 628 264 701
577	SHA412	196	22	1135 903 848 925 211 1169 283
581	HLL107	254	27	454 255 1157 767 536 777 722
640	HLL107	27	7	298 431 6 1005 929 72 664
687	HLL7	43	10	1145 744 683 23 1084 1011 361
741	WDS	196	14	719 1018 241 964 800 309 749
21	SHA412	72	39	813 416 411 260 1127 728
128	CHS104	87	39	1144 347 102 93 1176 666
129	SHA412	118	40	1150 616 27 375 780 1003
134	CHS101	160	10	718 906 1018 1008 207 698
184	GST101	76	10	453 181 363 966 872 54
228	SHA412	237	10	349 392 627 253 983 639
290	CHS104	153	10	711 294 1146 545 788 1097
312	CHS104	237	40	553 881 328 318 1154 898
325	HLL107	48	10	591 836 380 166 807 486
336	HLL107	28	39	912 693 776 385 679 1093
407	HLL107	239	40	278 869 952 287 1151 1167
427	SHA217	320	40	643 612 1146 870 897 843
516	CHS104	194	43	402 703 189 928 256 980
611	HLL107	251	43	299 559 685 586 863 577
665	SHA217	323	43	1182 238 374 240 785 561
711	STO102	320	43	715 592 844 1051 808 897
731	CHS101	228	16	194 99 1098 128 835 892
9	SHA217	281	10	446 1053 1082 451 996
22	STO102	122	10	714 433 1131 928 731
28	STO18	145	10	595 903 935 358 117
39	GST101	317	16	1139 659 549 838 568
52	SHA412	304	16	915 1061 553 703 175
79	GST101	14	3	196 900 952 461 463
87	CHS104	133	22	528 104 1004 406 922
111	CHS104	153	16	595 273 1 687 1075
149	HLL107	292	16	869 313 967 770 422
168	SHA217	242	16	340 332 1059 248 998
251	STO16	230	2	526 333 941 547 560
318	SHA217	269	39	433 934 874 1155 1099
327	SHA217	98	7	888 769 967 1102 539
378	SHA217	207	27	187 833 577 256 426
388	WDS	15	10	1081 651 123 1095 567
440	HLL107	171	22	349 900 976 1126 389
495	SHA217	29	22	866 207 311 356 119
532	HLS11	245	14	37 1099 772 849 1111
557	HLS11	187	10	437 132 936 986 822
560	HLL6	54	10	994 1135 93 459 327
572	HLL7	267	2	145 681 661 361 1021
612	SHA412	205	3	1061 703 515 175 464
628	CHS104	18	3	1062 450 323 356 488
660	CHS101	126	2	913 147 247 1140 953
721	GST101	153	2	335 758 392 999 871
746	SHA412	218	2	186 655 1159 565 1180
